feature;importance
vl_hectares_hora;0.3866423783723314
vl_rpm;0.3189219825850341
vl_largura_implemento;0.11588490973430313
estado_processo_Deslocamento;0.08468005981759236
vl_velocidade;0.024269955655288774
vl_tempo_segundos;0.023006785000034866
cd_equipamento_5001;0.011600523603702272
cd_equipamento_5518;0.009613399262669083
cd_equipamento_5526;0.005193404887003014
vl_umidade;0.0044613659640912896
vl_temperatura;0.0041298190206265325
vl_temperatura_motor;0.003213541726766025
cd_equipamento_5016;0.001767941563067595
hora;0.0015839395188928377
dia_semana;0.0010398069124503773
cd_talhao_13;0.0008237974975248899
estado_processo_Efetivo;0.000795995493933711
cd_equipamento_5045;0.000717794023705624
estado_processo_Manobra;0.0004992875636114502
cd_talhao_1;0.00040359923154198457
cd_talhao_3;0.0002239794015703331
cd_talhao_12;0.00012113378234998004
cd_talhao_2;0.00012110510650058785
cd_zona_1;8.015236817932482e-05
cd_talhao_31;6.243272927243269e-05
