model;target;rows_train;rows_test;positive_rate_test;roc_auc;f1;precision;recall;mae;r2
RF Classifier;target_consumo_alto;80000;20000;0.4186;0.9624890764849036;0.8695936020891137;0.7984813667699071;0.9546106067845198;;
RF Classifier;target_sem_apontamento;80000;20000;0.95895;0.9878474534323379;0.9884011467346993;0.997240208045855;0.9797173992387507;;
RF Classifier;target_parada_critica;80000;20000;0.02655;0.9870611341280489;0.662507797878977;0.49533582089552236;1.0;;
RF Regressor;vl_consumo_instantaneo;80000;20000;;;;;;2.1838594815969095;0.8932321539329529
