cd_talhao;eventos;falhas;horas;litros;taxa_falha
41;3756;3734;21.574444444444445;463.28940555555556;0.9941427050053249
13;23655;23457;135.2461111111111;2659.544088888889;0.9916296766011414
42;8720;8645;45.14138888888889;853.4226166666667;0.9913990825688074
11;22595;22399;90.39583333333333;2250.7924694444446;0.9913255144943571
4;12176;12067;53.12833333333333;1286.0109;0.9910479632063075
31;16316;16152;75.80083333333333;1733.9929583333333;0.9899485167933317
22;22099;21876;115.51444444444445;2166.550888888889;0.9899090456581746
32;12184;12061;57.31861111111111;1407.0386444444446;0.9899047931713723
51;15658;15486;80.06888888888889;1674.3287138888888;0.9890151998978158
2;7140;7048;41.563611111111115;745.0534861111112;0.9871148459383754
23;20604;20336;78.805;1720.6136305555556;0.9869928169287517
1;18180;17935;126.48805555555556;1614.0927472222222;0.9865236523652365
3;13154;12940;67.9088888888889;1185.7032944444445;0.9837311844305915
34;7772;7642;32.301944444444445;977.0174861111111;0.98327328872877
12;16862;16565;76.39972222222222;1446.0604083333333;0.9823864310283478
21;21392;21011;92.6525;1955.4028027777779;0.9821896035901272
33;11056;10838;52.76833333333333;1261.3358277777777;0.9802821997105644
*NAO_DEFINIDO*;11872;11156;302.9661111111111;275.49111944444445;0.9396900269541779
