talhao_label;horas;litros;decliv_media;l_h
D1;8.81;413.72265;2.967337332466549;46.960573212258794
E4;18.885833333333334;852.564125;2.3373894356152527;45.14305034637956
D2;17.419444444444444;783.7093833333333;3.4594099103974516;44.99049242545048
B3;54.15833333333333;2377.6943111111113;2.5248532572022038;43.902649228086375
E2;31.468055555555555;1308.911513888889;2.296080499834442;41.59492827823631
A4;28.074722222222224;1149.2601166666666;3.0857932705353304;40.935760915809986
C2;48.608333333333334;1960.9916222222223;2.237412836963972;40.34270438310761
C1;42.452777777777776;1702.1966333333335;2.0871652058117904;40.09623686448996
F1;37.21138888888889;1486.9678083333333;2.473361483068113;39.96001903539089
E3;29.27916666666667;1156.6233083333334;2.5205056650888817;39.50328646648641
A2;15.93138888888889;622.4486583333334;2.138064469501896;39.07058340452984
B1;50.47361111111111;1961.419675;2.5865723701332715;38.86030010181338
C3;38.038333333333334;1451.0341583333334;2.951429527562414;38.14662818209701
A1;37.059444444444445;1354.1217722222223;2.3358491333469127;36.53918164510471
E1;39.87888888888889;1440.4992944444446;1.8113766036628522;36.12185129976875
A3;28.004444444444445;982.3508527777778;1.9564366468478893;35.07839102920172
B2;36.795;1267.2596361111111;2.5324024011181936;34.441082650118524
SEM_TALHAO;23.46138888888889;512.0710111111111;2.4318564365095696;21.826116669231954
