hora;horas;eventos
17;0.03333333333333333;13
15;0.02777777777777778;20
14;0.026944444444444444;10
10;0.016666666666666666;1
11;0.013055555555555556;9
13;0.012222222222222223;9
16;0.0077777777777777776;5
12;0.005555555555555556;4
9;0.0019444444444444444;1
18;0.001388888888888889;1
