classe_decliv;horas;litros;l_h;delta_vs_0_3_l_h;delta_pct_vs_0_3
0-3%;419.4997222222222;16232.436344444444;38.69474873178965;0.0;0.0
3-8%;165.40833333333333;6502.649783333333;39.312709657917274;0.6179609261276227;1.5970149603786954
8-20%;1.1025;48.76040277777778;44.22712270093222;5.532373969142569;14.29748002110025
