direcao_setor;horas;litros;dist_m;dist_km;l_h;l_km;delta_l_h_vs_bench;litros_potenciais;retorno_r$
E;21.785833333333333;835.2515833333333;122442.33474683101;122.44233474683101;38.33920743602494;6.821591445968004;0.0;0.0;0.0
N;87.2675;3628.4426055555555;501529.117811528;501.52911781152795;41.578395227954914;7.234759611542844;2.177021146258369;189.9831928811022;1234.8907537271643
NE;113.16194444444444;4503.764194444445;581191.3324945436;581.1913324945436;39.79928249337847;7.749193669344213;0.39790841168192514;45.02808957672714;292.6825822487264
NW;39.59388888888889;1579.375088888889;229100.89880011737;229.10089880011736;39.889365081592274;6.893797000189158;0.4879909998957288;19.321461428649275;125.58949928622029
S;91.17805555555556;3745.1729444444445;506338.20706306474;506.3382070630647;41.075376324103324;7.396583730403701;1.6740022424067789;152.63226945828987;992.1097514788842
SE;40.4;1593.7929888888889;230840.03477893388;230.8400347789339;39.45032150715072;6.904317920482033;0.0489474254541733;1.9774759883486013;12.853593924265908
SW;105.05555555555556;4272.688091666667;565534.2298653483;565.5342298653483;40.6707486250661;7.5551361279828795;1.2693745433695582;133.3548478617686;866.806511101496
W;19.851666666666667;779.2678805555556;116550.62579302864;116.55062579302864;39.25453180533401;6.686089201609132;0.0;0.0;0.0
